"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2016,"UF","51",17535,0,1050,3079,14456,797,2740,4211,1899,4809,11109,6416,1119,0,495,386,109,244,180,5,1,274,28,75,22,3,2,29,16,56,51,4,5,12,21,3,6
2016,"MUNICIPIO","510000",16,0,0,9,7,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","510010",32,0,1,3,29,0,7,9,5,8,18,14,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","510020",89,0,2,19,70,6,18,20,7,19,57,32,6,0,6,5,1,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","510025",288,0,16,60,228,12,40,82,25,69,198,90,16,0,9,9,0,3,7,0,0,2,0,2,1,0,0,1,0,2,2,0,0,2,0,0,0
2016,"MUNICIPIO","510030",95,0,3,14,81,3,15,17,17,29,62,33,9,0,3,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","510035",15,0,1,1,14,1,1,2,1,9,13,2,1,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","510040",55,0,2,10,45,1,9,15,7,13,30,24,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","510050",55,0,2,11,44,0,8,20,4,12,33,22,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","510060",42,0,0,16,26,1,3,8,3,11,29,13,4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","510080",35,0,0,9,26,4,5,5,3,9,28,7,0,0,5,3,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","510100",20,0,1,2,18,0,3,6,4,5,15,5,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
